1	2	1241	
1	3	19708	
1	4	38963	
1	5	6556	
1	6	7	
1	7	2921	
1	8	1176	
1	9	1212	
2	1	4803	
2	3	26565	
2	4	10408	
2	5	595	
2	6	4375	
2	7	11260	
2	8	1597	
2	9	29268	
3	1	19958	
3	2	18631	
3	4	33422	
3	5	0	
3	6	5670	
3	7	8584	
3	8	579	
3	9	145701	
4	1	32564	
4	2	6425	
4	3	24177	
4	5	13278	
4	6	8024	
4	7	11002	
4	8	5003	
4	9	7015	
5	1	7195	
5	2	0	
5	3	589	
5	4	16714	
5	6	3143	
5	7	6501	
5	8	2269	
5	9	4	
6	1	0	
6	2	4375	
6	3	6079	
6	4	10884	
6	5	4275	
6	7	4499	
6	8	11684	
6	9	4113	
7	1	2185	
7	2	12275	
7	3	17468	
7	4	5761	
7	5	4	
7	6	2728	
7	8	0	
7	9	6364	
8	1	2981	
8	2	1408	
8	3	844	
8	4	10753	
8	5	1210	
8	6	17186	
8	7	1277	
8	9	4434	
9	1	122	
9	2	24295	
9	3	180381	
9	4	15648	
9	5	0	
9	6	3258	
9	7	4667	
9	8	0	
