1	8	121	121	1	0
1	3	236	347	1	0
1	4	236	347	1	0
1	5	121	464	1	0
1	8	585	585	2	464
1	5	700	816	2	236
1	3	589	940	2	242
1	4	589	940	2	242
1	9	940	940	1	0
1	2	1306	1306	1	0
1	8	1662	1662	3	1077
1	8	2025	2158	4	363
1	2	2387	2387	2	1081
1	8	2387	2387	5	229
1	8	2969	3195	6	582
1	8	4030	4030	7	835
1	8	5130	5254	8	1100
1	8	5517	5747	9	263
1	8	6019	6365	10	272
1	8	6605	6605	11	240
1	7	7428	7653	1	0
1	5	7542	8130	3	6726
1	7	8007	8130	2	354
1	5	8742	8867	4	612
1	4	7428	9105	3	6488
1	5	9228	9353	5	361
1	8	9476	9476	12	2871
1	5	9598	9713	6	245
1	5	9957	9957	7	244
1	8	10075	10075	13	599
1	8	10549	10557	14	474
1	2	10674	10674	3	8287
1	5	10195	10911	8	238
1	2	10911	10911	4	237
1	8	11033	11033	15	476
1	5	11157	11494	9	246
1	7	11726	11726	3	3596
1	7	12680	12680	4	954
1	5	12069	12901	10	575
1	5	13030	13030	11	129
1	5	13282	13793	12	252
1	7	13415	14029	5	735
1	5	14261	14261	13	468
1	7	15390	15390	6	1361
1	8	15508	15508	16	4475
1	7	15885	15885	7	495
1	5	15136	16004	14	875
1	7	16135	16135	8	250
1	8	17207	17316	17	1699
1	5	16129	17784	15	125
1	7	17660	17784	9	1525
1	2	18015	18029	5	7104
1	8	18398	18398	18	1082
1	8	19090	19090	19	692
1	4	9476	19323	4	371
1	4	19577	21178	5	254
1	5	21770	21995	16	3986
1	7	21879	21995	10	4095
1	4	21426	22376	6	248
1	4	22614	25165	7	238
1	8	27102	27102	20	8012
1	6	74547	74554	1	0
1	7	80039	80039	11	58044
1	7	80408	80881	12	369
1	2	82948	82948	6	64919
1	7	82825	83197	13	1944
1	2	83315	83315	7	367
1	2	83681	83688	8	366
1	7	84157	84292	14	960
1	7	85127	85127	15	835
1	2	86401	86401	9	2713
1	4	85373	86881	8	60208
1	2	86763	87118	10	362
1	9	87118	87118	2	86178
1	3	87118	87227	3	86178
1	4	87227	87227	9	346
1	2	95973	95973	11	8855
1	7	96335	96335	16	11208
1	2	96335	96356	12	362
1	7	96949	96949	17	614
1	4	95973	98392	10	8746
1	2	99100	99100	13	2744
1	7	99223	99223	18	2274
1	3	95973	99348	4	8746
1	7	101990	101997	19	2767
1	7	102484	102484	20	487
1	4	98636	103186	11	244
1	6	103186	103186	2	28632
1	7	103424	103424	21	940
1	2	104261	104261	14	5161
1	7	104510	104510	22	1086
1	7	105080	105312	23	570
1	7	105789	105789	24	477
1	7	106146	106517	25	357
1	2	106265	106517	15	2004
1	3	99808	106874	5	460
1	7	107000	107129	26	483
1	2	107129	107129	16	612
1	4	103775	107150	12	589
1	3	107129	107274	6	255
1	2	107527	107527	17	398
1	3	107520	108152	7	246
1	7	108266	108266	27	1137
1	4	107402	110688	13	252
1	2	111806	112398	18	4279
1	4	110937	113579	14	249
1	4	113935	113935	15	356
1	9	115094	115094	3	27976
1	2	115336	115336	19	2938
1	9	115828	115828	4	734
1	3	108639	116558	8	487
1	9	116447	116558	5	619
1	4	114171	117674	16	236
1	9	173079	173079	6	56521
1	9	175935	175942	7	2856
1	9	180059	180059	8	4117
1	9	180207	181173	9	148
1	9	181638	181638	10	465
1	9	183093	183093	11	1455
1	9	183568	183568	12	475
1	9	185865	185865	13	2297
1	9	186852	186852	14	987
1	9	187576	187576	15	724
1	4	187112	187704	17	69438
1	9	187830	187958	16	254
1	9	188542	188542	17	584
1	8	258123	258123	21	231021
1	8	258501	258501	22	378
1	8	262612	262612	23	4111
1	8	265106	265106	24	2494
2	8	121	121	1	0
2	4	121	121	1	0
2	3	121	236	1	0
2	7	236	347	1	0
2	6	347	464	1	0
2	3	589	589	2	353
2	6	940	940	2	476
